0002,"Male Human NPC, Naked"
0620,"wand, crooked"
0621,"wood steps, stone case"
0622,"wood steps, stone case"
0623,"wood steps, stone case"
0624,torch with flame
0625,"fire pit, red flame"
0626,"fire pit, blue flame"
0627,"fire pit, red flame"
0628,"fire pit, blue flame"
0629,"fire pit, green flame"
062A,"fire pit, green flame"
062B,"tree, autum colored leaves"
062C,tree
062D,poduim with questionmark and paper
062E,sign with question mark
062F,blue crystal
0630,blue crystal
0631,blue crystal
0632,green crystal
0633,green crystal
0634,green crystal
0635,red crystal
0636,red crystal
0637,red crystal
0638,red ball
0639,apple
063A,none
063B,none
063C,metal gate siver
063D,metal gate black
063E,spear?
063F,fish?
0640,choc chip cookie
0641,cooking? pink jar
0642,festival stone with blue aura
0643,none
0644,none
0645,none
0646,none
0647,none
0648,none
0649,none
064A,none
064B,none
064C,none
064D,none
064E,none
064F,none
0650,none
0651,none
0652,none
0653,none
0654,none
0655,none
0656,none
0657,none
0658,none
0659,none
065A,none
065B,none
065C,none
065D,none
065E,none
065F,none
0660,none
0661,none
0662,none
0663,none
0664,none
0665,none
0666,none
0667,none
0668,none
0669,none
066A,none
066B,none
066C,none
066D,none
066E,none
066F,none
0670,none
0671,none
0672,none
0673,none
0674,none
0675,none
0676,none
0677,none
0678,none
0679,none
067A,too small
067B,blue aura
067C,green aura
067D,yelow aura
067E,red aura
067F,dungeon piece
0680,blue aura
0681,blue aura
0682,green aura
0683,green aura
0684,white smoke
0685,white smoke
0686,red aura
0687,red aura
0688,white aura
0689,Ground up lighting
068A,yellow aura
068B,rocks
068C,rocks (DI)
068D,blue crystals
068E,none
068F,lava pool
0690,Pink aura (wisp like)
0691,Orange aura (wisp like)
0692,Light blue fog
0693,Light green fog
0694,Orange fog
0695,Pink fog
0696,red fog
0697,purple fog
0698,light aura? turns with you?
0699,purple aura
069A,purple aura
069B,purple aura
069C,yellow aura
069D,Orange aura
069E,Orange aura
069F,red aura
06A0,red aura
06A1,red aura
06A2,red aura
06A3,fire elemental (red)
06A4,flame up from ground
06A5,flame up from ground
06A6,none
06A7,flame up from ground
06A8,flame up from ground
06A9,flame up from ground
06AA,flame up from ground
06AB,none
06AC,lightning elemental (purple)
06AD,none
06AE,none
06AF,none
06B0,none
06B1,too small
06B2,all of these are for the nightclub disco
06B3,all of these are for the nightclub disco
06B4,all of these are for the nightclub disco
06B5,all of these are for the nightclub disco
06B6,all of these are for the nightclub disco
06B7,all of these are for the nightclub disco
06B8,all of these are for the nightclub disco
06B9,all above are for the nightclub disco
06BA,all above are for the nightclub disco
06BB,all above are for the nightclub disco
06BC,all above are for the nightclub disco
06BD,all above are for the nightclub disco
06BE,all above are for the nightclub disco
06BF,"banderling, old, dancing"
06C0,none
06C1,"drudge, old, dancing"
06C2,"tusker, old, dancing"
06C3,none
06C4,"lugian, flexing"
06C5,mushroom
06C6,mushroom
06C7,mushroom
06C8,desert stones
06C9,desert stones
06CA,"rock, tall"
06CB,desert stones
06CC,"rock, white"
06CD,"rock, tall"
06CE,"rock, tall"
06CF,"rock, white"
06D0,"rock, tall"
06D1,"rock, tall"
06D2,hands/wrists
06D3,none
06D4,none
06D5,none
06D6,armor of some kind?
06D7,"town sign, baishi"
06D8,"town sign, hebian to"
06D9,"town sign, lin"
06DA,"town sign, nanto"
06DB,"town sign, mayoi"
06DC,"town sign, sawato"
06DD,"town sign, shoushi"
06DE,"town sign, tou tou"
06DF,"town sign, yanshi"
06E0,none
06E1,gharu town sign al-aquaras
06E2,town sign al jalima
06E3,gharu town sign khayyaban
06E4,gharu town sign qualabar
06E5,gharu town sign samsur
06E6,gharu town sign tufa
06E7,gharu town sign uziz
06E8,"town sign, yaraq"
06E9,"town sign, zaikhail"
06EA,"town sign, arwic"
06EB,"town sign, cragstone"
06EC,"town sign, dryreach"
06ED,"town sign, eastham"
06EE,"town sign, glendon woods"
06EF,"town sign, holtburg"
06F0,"town sign, lyelthorpe"
06F1,"town sign, rithwic"
06F2,orange bunny
06F3,weird white aura with blue/orange
06F4,"portal, white (gateway)"
06F5,town/dungeon piece
06F6,town/dungeon piece
06F7,town/dungeon piece
06F8,none
06F9,many fire strams coming up from ground
06FA,3 logs roaring fire
06FB,none
06FC,carrot
06FD,snowman
06FE,snowman
06FF,food
0700,blue sentient fragment
0701,green ????
0702,blue dual fragment
0703,none
0704,pink ???
0705,sho lantern post
0706,candle post
0707,sho lantern post
0708,red triangle
0709,pink ???
070A,apple
070B,hat with tassle
070C,kasa
070D,hood
070E,none
070F,none
0710,mining wheelbarrow
0711,tiny fragment blue
0712,none
0713,tiny fragment blue
0714,too small to see -- seems to have a large lighting effect
0715,none
0716,"ubmrean male char, human top half"
0717,none
0718,none
0719,small lantern post
071A,lantern
071B,"ubmrean femalechar, human top half"
071C,stone pilar
071D,rocks stacked / stonehenge~
071E,stone pilar
071F,"rotting tree, falling over"
0720,atlan mace? standing up blue stone
0721,atlan dagger standing up blue stone
0722,too small to see
0723,"atlan staff, standing up, blue stone"
0724,"atlan spear, standing up, blue stone"
0725,"atlan staff, standing up, blue stone"
0726,"atlan sword, standing up, blue stone"
0727,"arrow, shadow on back end, laying down"
0728,none
0729,none
072A,none
072B,"quarrel, fire"
072C,none
072D,none
072E,none
072F,none
0730,none
0731,none
0732,none
0733,none
0734,none
0735,"katar, shadow aura"
0736,none
0737,none
0738,none
0739,none
073A,none
073B,none
073C,none
073D,none
073E,none
073F,none
0740,none
0741,none
0742,none
0743,none
0744,none
0745,none
0746,none
0747,none
0748,none
0749,none
074A,none
074B,"spear, black aura"
074C,none
074D,none
074E,atlan axe
074F,atlan axe
0750,atlan axe
0751,atlan axe
0752,atlan axe
0753,atlan axe
0754,atlan axe
0755,atlan dagger
0756,atlan dagger
0757,atlan dagger
0758,none
0759,atlan dagger
075A,atlan dagger
075B,none
075C,"arrow heads,"
075D,"arrow heads,"
075E,"arrow heads,"
075F,"arrow heads,"
0760,"arrow heads,"
0761,"arrow heads,"
0762,"arrow heads,"
0763,atlan mace
0764,atlan mace
0765,atlan mace
0766,atlan mace
0767,atlan mace
0768,atlan mace
0769,atlan mace
076A,atlan spear
076B,atlan spear
076C,atlan spear
076D,atlan spear
076E,atlan spear
076F,atlan spear
0770,atlan spear
0771,atlan staff
0772,atlan staff
0773,atlan staff
0774,atlan staff
0775,atlan staff
0776,atlan staff
0777,atlan staff
0778,atlan sword
0779,atlan sword
077A,atlan sword
077B,atlan sword
077C,atlan sword
077D,atlan sword
077E,atlan sword
077F,"atlan axe, acid"
0780,"atlan axe, lightning"
0781,"atlan axe, fire"
0782,"atlan axe, frost"
0783,"atlan dagger, acid"
0784,"atlan dagger, lightning"
0785,"atlan dagger, fire"
0786,none
0787,acid atlan claw
0788,lightning atlan claw
0789,fire atlan claw
078A,ice atlan claw
078B,"atlan mace, acid"
078C,"atlan mace, lightning"
078D,"atlan mace, fire"
078E,"atlan mace, frost"
078F,"atlan spear, acid"
0790,"atlan spear, lightning"
0791,"atlan spear, fire"
0792,"atlan spear, frost"
0793,"atlan staff, acid"
0794,"atlan staff, lightning"
0795,"atlan staff, fire"
0796,"atlan staff, frost"
0797,"atlan sword, acid"
0798,"atlan sword, lightning"
0799,"atlan sword, fire"
079A,"atlan sword, frost"
079B,"atlan axe, acid"
079C,"atlan axe, lightning"
079D,"atlan axe, fire"
079E,"atlan axe, frost"
079F,"atlan spear, frost"
07A0,atlan staff frost
07A1,"atlan sword, frost"
07A2,flowers
07A3,flowers
07A4,flowers
07A5,flower
07A6,flower
07A7,acid pit
07A8,none
07A9,none
07AA,none
07AB,none
07AC,none
07AD,none
07AE,none
07AF,none
07B0,none
07B1,none
07B2,none
07B3,none
07B4,none
07B5,none
07B6,none
07B7,none
07B8,none
07B9,none
07BA,none
07BB,none
07BC,none
07BD,none
07BE,none
07BF,none
07C0,none
07C1,none
07C2,none
07C3,red BZ model from pk altar
07C4,flies effect
07C5,lightning pillar effect
07C6,lightning pillar effect
07C7,windmill spinning piece
07C8,windmill gear
07C9,none
07CA,"golem model, new"
07CB,"golem model, magma new"
07CC,"golem model, vr"
07CD,none
07CE,none
07CF,none
07D0,none
07D1,none
07D2,none
07D3,none
07D4,none
07D5,none
07D6,"standing stone, frore"
07D7,"golem model, ice"
07D8,"golem model, obsidian"
07D9,tree
07DA,palm tree tall
07DB,tree
07DC,none
07DD,"drudge, new"
07DE,"portal, purple, flat"
07DF,none
07E0,none
07E1,"tree, ice"
07E2,"tree, ice"
07E3,tree ice
07E4,tree ice
07E5,"golem model, new, water"
07E6,none
07E7,none
07E8,shadow spire aura
07E9,shadow spire aura
07EA,shadow spire aura
07EB,shadow spire aura
07EC,shadow spire aura
07ED,shadow spire aura
07EE,none
07EF,none
07F0,shadow effect
07F1,too small
07F2,dungeon piece
07F3,dungeon piece
07F4,none
07F5,none
07F6,none
07F7,none
07F8,none
07F9,none
07FA,none
07FB,too small to see
07FC,too small to see
07FD,too small to see
07FE,too small to see
07FF,too small to see
0800,too small to see
0801,too small to see
0802,too small to see
0803,too small to see
0804,too small to see
0805,too small to see
0806,too small to see
0807,too small to see
0808,too small to see
0809,too small to see
080A,too small to see
080B,too small to see
080C,too small to see
080D,too small to see
080E,too small to see
080F,too small to see
0810,too small to see
0811,too small to see
0812,too small to see
0813,too small to see
0814,too small to see
0815,too small to see
0816,too small to see
0817,too small to see
0818,too small to see
0819,too small to see
081A,too small to see
081B,too small to see
081C,too small to see
081D,too small to see
081E,too small to see
081F,too small to see
0820,too small to see
0821,too small to see
0822,too small to see
0823,too small to see
0824,too small to see
0825,too small to see
0826,too small to see
0827,too small to see
0828,too small to see
0829,too small to see
082A,too small to see
082B,too small to see
082C,too small to see
082D,too small to see
082E,too small to see
082F,too small to see
0830,too small to see
0831,too small to see
0832,too small to see
0833,too small to see
0834,too small to see
0835,too small to see
0836,too small to see
0837,too small to see
0838,too small to see
0839,too small to see
083A,too small to see
083B,shadow spire piece?
083C,shadow spire piece?
083D,shadow spire piece?
083E,ice crystals?
083F,too small to see
0840,behemeth spawn point smoke
0841,ice crystals?
0842,ice crystals?
0843,ice crystals?
0844,ice crystals?
0845,none
0846,none
0847,dead tree
0848,"banderling, dead"
0849,yellow silifi of crimson stars
084A,atlan hilt?
084B,none
084C,none
084D,"female char, naked"
084E,"male char, naked"
084F,ice crystals?
0850,ice crystals?
0851,ice crystals?
0852,tree stump?
0853,"female char, upper half only"
0854,"male char, upper half only"
0855,none
0856,none
0857,none
0858,none
0859,waterfall effect?
085A,waterfall effect?
085B,none
085C,none
085D,"stone pillar, white"
085E,"stone pillar, white"
085F,stone pieces
0860,stone pieces
0861,empyrean stone pyramid
0862,"stone pillar, white"
0863,"partial stone pillar, white"
0864,"partial stone pillar, white"
0865,"partial stone pillar, white"
0866,"corpse, cowering in fear"
0867,"corpses, cowering in fear"
0868,"corpse, face down, covering head"
0869,none
086A,none
086B,water/smoke effects?
086C,sword
086D,purple olthoi sword
086E,multiple ice trees
086F,none
0870,none
0871,none
0872,none
0873,weird xbow
0874,weird xbow
0875,weird xbow
0876,weird xbow
0877,part of a bow
0878,weird bow
0879,weird bow
087A,totem?
087B,none
087C,rock
087D,"sword, on ground"
087E,???
087F,none
0880,lightning effect
0881,fire effect on ground
0882,acid effect on ground
0883,frost effect on ground
0884,lightning effect on ground
0885,bludg effect on ground?
0886,effect on ground
0887,pierce effect on ground
0888,none
0889,"corpse, on ground, leg up"
088A,corpse on ground
088B,"corpse on ground, face down"
088C,"corpse on ground, face down"
088D,wood plank
088E,too small to see
088F,too small to see
0890,too small to see
0891,too small to see
0892,too small to see
0893,spiked weapon
0894,too small to see
0895,too small to see
0896,staff of aerfalle
0897,"large steel grate, ala orig olthoi queen quest"
0898,"large steel grate, on ground"
0899,"fire aura, red"
089A,"shadow aura, black smoke"
089B,none
089C,fire elemental (blue)
089D,fire elemental (blue)
089E,board with nail
089F,stick with nails
08A0,none
08A1,trident type weapon
08A2,white smoke effect
08A3,white smoke effect
08A4,lightning effect
08A5,"sword, hollow"
08A6,"spear, hollow"
08A7,"staff, hollow"
08A8,H?
08A9,"mace, hollow"
08AA," daggar, hollow"
08AB,"1 side axe, hollow"
08AC,staff
08AD,spear
08AE,mace
08AF,H?
08B0,daggar
08B1,1 side axe
08B2,sword
08B3,"stick with star, lightning"
08B4,"trident, shadow effect"
08B5,"trident, fire"
08B6,"stick with star, shadow"
08B7,"spear, frost"
08B8,"spear, lightning"
08B9,"spear, fire"
08BA,"spear, shadow"
08BB,"trident, frost"
08BC,"trident, lightning"
08BD,"stick with star, frost"
08BE,"spear, acid"
08BF,"stick with star, acid"
08C0,"stick with star, fire"
08C1,"trident, standing up"
08C2,"white smoke effect, HUGE"
08C3,none
08C4,none
08C5,"yellow portal, flat"
08C6,cooking?
08C7,"grinder, cooking"
08C8,cheeseburger
08C9,clamp?
08CA,red translucent something
08CB,none
08CC,none
08CD,none
08CE,none
08CF,none
08D0,none
08D1,none
08D2,none
08D3,white smoke effect
08D4,white smoke effect
08D5,none
08D6,none
08D7,white smoke effect
08D8,yellow light effect
08D9,yellow light effect
08DA,"Greivver, silver"
08DB,"gray spike, down"
08DC,"cone, brown"
08DD,"cone, brown"
08DE,"cone, brown"
08DF,"gray spike, down"
08E0,"cone, white"
08E1,"gray spike, down"
08E2,"cone, gray/purple"
08E3,none
08E4,none
08E5,none
08E6,none
08E7,none
08E8,none
08E9,none
08EA,none
08EB,none
08EC,none
08ED,"female char, corpse on ground"
08EE,"female char, corpse on ground"
08EF,"female char, corpse on ground"
08F0,"male char, corpse on ground"
08F1,"male char, corpse on ground"
08F2,"male char, corpse on ground"
08F3,blue crystal
08F4,blue crystal
08F5,blue crystal
08F6,blue crystal
08F7,blue crystal
08F8,blue crystal
08F9,"fragment, blue, purple aura"
08FA,"dual fragment, blue, purple aura"
08FB,"fragment, blue, purple aura"
08FC,"sentient shard, blue, purple aura"
08FD,"portal, shadow"
08FE,stone piece
08FF,stone piece
0900,"too small to see, just hear some noise"
0901,"too small to see, just hear some noise"
0902,"too small to see, just hear some noise"
0903,black structure piece
0904,black structure piece
0905,black smoke aura
0906,none
0907,none
0908,structure rubble
0909,arrow
090A,"arrow, blue"
090B,"arrow, blue, fire"
090C,"quarrel, blue, fire"
090D,"arrow heads, blue"
090E,"plant, brown?"
090F,dye
0910,plant pod
0911,dye pot
0912,pile of stucture rubble
0913,pile of stucture rubble
0914,pile of stucture rubble
0915,pile of stucture rubble
0916,pile of stucture rubble
0917,pile of stucture rubble
0918,pile of stucture rubble
0919,pile of stucture rubble
091A,pile of stucture rubble
091B,"cow, dead, white smoke"
091C,pyramid rubble
091D,pyramid rubble
091E,pyramid rubble
091F,portal gem? green
0920,portal gem green
0921,portal gem blue
0922,pile of stucture rubble
0923,pile of stucture rubble
0924,pile of stucture rubble
0925,urusin
0926,nifflis
0927,none
0928,none
0929,none
092A,none
092B,none
092C,none
092D,none
092E,none
092F,blue and lightning effect moving across ground
0930,none
0931,stone chair
0932,pile of stucture rubble
0933,stone and green stone
0934,stone bench
0935,stone table
0936,stone table
0937,none
0938,hollow minion
0939,lugian chest
093A,none
093B,chair
093C,fireworks
093D,none
093E,none
093F,none
0940,none
0941,none
0942,none
0943,none
0944,none
0945,none
0946,none
0947,none
0948,bowl
0949,pumpkin
094A,too small to see
094B,table
094C,pumpkin with effect
094D,table
094E,broken table
094F,table
0950,"large bowl, off white stone"
0951,map? painting? rug?
0952,map? painting? rug?
0953,none
0954,map? painting? rug?
0955,small table
0956,banderling mask
0957,drudge masks
0958,mosswart mask
0959,skeleton mask
095A,tusker mask
095B,virindi mask
095C,"pot, broken"
095D,map? painting? rug?
095E,map? painting? rug?
095F,map? painting? rug?
0960,map? painting? rug?
0961,map? painting? rug?
0962,map? painting? rug?
0963,none
0964,tusker
0965,"chair, stone"
0966,"bench, stone"
0967,Cultist Altar
0968,Cultist Altar
0969,Cultist Altar
096A,table
096B,pot
096C,book case
096D,pool of water
096E,pool of water
096F,fountain
0970,"table, off white stone"
0971,"bench, off white stone"
0972,none
0973,blue clear thing with red clear knatch inside it
0974,circular thing
0975,keg with tap?
0976,beer mug
0977,"olthoi helm, new style"
0978,armert
0979,none
097A,flaming jack o lantern
097B,none
097C,King's Helm
097D,Shadow's Garb
097E,Ogre Mask
097F,bed
0980,none
0981,Xarabydun Gharun'dim Town Sign
0982,olthoi head (old style)
0983,hollow minion
0984,hollow minion
0985,"black/blue cloud aura, spinning"
0986,black rabbit with lightning effect
0987,Hollow Minion with pumpkin
0988,Texture for olthoi dungeon - Cone
0989,same as 988 but diff color
098A,Texture for olthoi dungeon 
098B,Texture for olthoi dungeon 
098C,Texture for olthoi dungeon 
098D,Texture for olthoi dungeon 
098E,Texture for olthoi dungeon 
098F,blue aura from ground
0990,none
0991,none
0992,moarsman
0993,"heaume, post patch"
0994,acid effect from ground
0995,Smoke and blue aura spinning counter clockwise
0996,Looks the smae as 996 but with lightning
0997,same as above but minus the smoke
0998,none
0999,"smoke, looks like the black breath"
099A,wooden arrow sign
099B,idol
099C,"idol, red eyes"
099D,"idol, yellow eyes"
099E,"BZ, orange"
099F,none
09A0,none
09A1,sanc steps
09A2,sanc steps
09A3,blue tiki torch
09A4,acid ground effects
09A5,spear
09A6,"arrow head, blue"
09A7,blue gem
09A8,"town sign, kryst"
09A9,two doors
09AA,npk altar
09AB,"coffin, sanc"
09AC,"coffin, sanc"
09AD,"green, pulsing red"
09AE,none
09AF,none
09B0,none
09B1,smoke black
09B2,smoke black
09B3,none
09B4,skeleton bone pile
09B5,skeleton bone pile
09B6,paper on ground
09B7,Hollow Minion with pumpkin
09B8,Texture for olthoi dungeon - Cone
09B9,same as 988 but diff color
09BA,wood piece
09BB,Emissary of Asheron
09BC,green something blue aura
09BD,blue gem purple aura
09BE,blue gem red aura
09BF,blue gem red aura
09C0,blue gem purple aura
09C1,"book, purple"
09C2,blue gem blue aura
09C3,blue gem blue aura
09C4,blue gem blue aura
09C5,green something blue aura
09C6,green something blue aura
09C7,green something blue aura
09C8,"Asheron, blue"
09C9,"bow, brown green aura"
09CA,"corpse, hands up"
09CB,none
09CC,BZ Staff
09CD,"Helm of the Lightbringer, all silver"
09CE,urisin mask
09CF,green something purple aura
09D0,focusing stone maker
09D1,none
09D2,none
09D3,green something yellow aura
09D4,lightning aura on ground moving
09D5,sword of lost hope OLD! PP
09D6,corpse on pedastal
09D7,none (edit: long sword handle that falls through ground)
09D8,none (edit: long sword handle that falls through ground)
09D9,thistledown memorial statue
09DA,red wisp w/ drippings
09DB,red wisp
09DC,none
09DD,"blue aura, mana renewal but bigger"
09DE,"blue aura, mana renewal but smaller"
09DF,white aura
09E0,white aura
09E1,weird cube
09E2,blue crystals
09E3,blue crystals
09E4,"blue liquid, green aura"
09E5,Hieromancer's Orb
09E6,mosswart
09E7,Auberean Globe Orb
09E8,none
09E9,"sword, virindi slayer, blue"
09EA,"2 sided axe, virindi slayer blue"
09EB,"mace, vinridi slayer, blue"
09EC,"spear, virindi slayer, blue"
09ED,Police Box (textureless)
09EE,remorian pack doll??
09EF,table? blue aura
09F0,green something yellow aura
09F1,"human feet, lowerleg armor"
09F2,none (edit: leg and foot below knee)
09F3,"wisp, purple"
09F4,none
09F5,none
09F6,"virindi, blue, sparkling"
09F7,"arrowheads, acid"
09F8,"arrowheads, lightning"
09F9,"arrowheads, fire"
09FA,"arrow, acid"
09FB,"arrow, lightning"
09FC,"arrow, fire"
09FD,"quarrel, acid"
09FE,"quarrel, lightning"
09FF,"quarrel, fire"
0A00,armor piece?/
0A01,pick axe?
0A02,purpel shine
0A03,"undead floating, portal auras (Marionette?)"
0A04,doll
0A05,none
0A06,myenosome top
0A07,myenosome with top off
0A08,virindi key? blue
0A09,"chest, virindi, blue"
0A0A,horned helm?
0A0B,lugian brown armor test model
0A0C,armor? lugian?
0A0D,casino key
0A0E,"casino chip, blue"
0A0F,no idea
0A10,spear of some sort?
0A11,spear of some sort?
0A12,staff of clarity
0A13,staff of clarity
0A14,Lugian Forge from Linvak Tukal
0A15,staff of clarity
0A16,none
0A17,none
0A18,none
0A19,piece of armor?
0A1A,piece of armor?
0A1B,"char, male, blue aegis, HUGE aura"
0A1C,"char, male, hand on hip"
0A1D,painting?
0A1E,painting?
0A1F,painting?
0A20,piece of a wall
0A21,none
0A22,piece of a wall
0A23,open chest
0A24,puzzle piece?
0A25,dropper? dagger?
0A26,none
0A27,bundle of arrows on ground
0A28,bundle of arrows on ground
0A29,blue wisp
0A2A,none
0A2B,Fletcher's Cap
0A2C,Alchemist's Hat
0A2D,casino hat
0A2E,none
0A2F,none
0A30,none
0A31,casino piece
0A32,food? green
0A33,shield? aegis?
0A34,nifflis shell?
0A35,very large tree
0A36,olthoi eviserator
0A37,flower
0A38,tree
0A39,purple glowing?
0A3A,"green something, purple aura"
0A3B,none
0A3C,none
0A3D,none
0A3E,none
0A3F,"pot green inside, stiring"
0A40,tumerok barrier
0A41,rat on spike
0A42,none
0A43,blue sirriclan (bird)
0A44,none
0A45,totem
0A46,doll (monster)
0A47,doll (monster)
0A48,none
0A49,none
0A4A,"wooden steps, ladder"
0A4B,sicle
0A4C,"wisp, green"
0A4D,olthoi soldier?
0A4E,"chest, half open"
0A4F,none
0A50,tumerok tent
0A51,tumerok tent
0A52,"wooden steps, ladder"
0A53,"bz statue, red, virindi mask, caul"
0A54,"bz statue, red, broken"
0A55,tumerok tent
0A56,none
0A57,none
0A58,none
0A59,bush
0A5A,none
0A5B,none
0A5C,none
0A5D,none
0A5E,none
0A5F,none
0A60,none
0A61,none
0A62,lightning aura huge
0A63,none
0A64,virindi tower spinning caul
0A65,none
0A66,none
0A67,tree
0A68,none
0A69,"rift, blue/red with virindi mask"
0A6A,"rift, green/orange with virindi mask"
0A6B,"rift, green/orange with virindi mask"
0A6C,"rift, yellow/purple with virindi mask"
0A6D,"rift,purple/orange with virindi mask"
0A6E,"rift,blue/yellow with virindi mask"
0A6F,none
0A70,Axe of the Quiddity
0A71,Dagger of the Quiddity
0A72,Blade of the Quiddity
0A73,Stave of the Quiddity
0A74,Lance of the Quiddity
0A75,??
0A76,Mace of the Quiddity Stave of the Quiddity Quintessence Sickle
0A77,Bow of the Quiddity
0A78,Balister of the Quiddity
0A79,too small -- audio effect? Crickets?
0A7A,too small -- another audio effect
0A7B,Eye of the Quiddity
0A7C,"golem, aetheria/crafting"
0A7D, Purple Aun Tumerok?
0A7E,"wall, tumerok"
0A7F,"chest, orange"
0A80,nothing
0A81,nothing
0A82,nothing
0A83,nothing
0A84,nothing
0A85,nothing
0A86,nothing
0A87,nothing
0A88,nothing
0A89,nothing
0A8A,Green Seeds
0A8B,????? -- audio effect
0A8C,Nail or Spike (buried shield?)
0A8D,Piece of armor (SHield?)
0A8E,same as above
0A8F,Piece of wall art?
0A90,Olthoi Queen
0A91,??? Small -- audio effect
0A92,Stone Stairs w/ 1/2 turn
0A93,Small ursuin rug (Greeling's?)
0A94,Small ursuin rug  
0A95,Light Brown Carenzi
0A96,something invisible
0A97,Open Brown Chest
0A98,Garden Gnome Statue
0A99,Nothing
0A9A,Nothing
0A9B,Straight flight of stone stairs
0A9C,Olthoi Queen Trophy Head
0A9D,Totem laying on back
0A9E,Mapof Dereth (light colored house item)
0A9F,Large olthoi type statue
0AA0,Aun pole in ground
0AA1,Horn of Vigilance
0AA2,Olthoi Door
0AA3,Fountain
0AA4,Olthoi Door
0AA5,Olthoi Door
0AA6,Olthoi Door
0AA7,Olthoi Door
0AA8,Olthoi Door
0AA9,Olthoi Drone
0AAA,Olthoi Noble (wrong color)
0AAB,Olthoi Nymph full size
0AAC,Olthoi Noble Nymph?
0AAD,Young Olthoi Queen
0AAE,Arcane Pedestal
0AAF,House Stone Door
0AB0,Aun Light Post
0AB1,Part of Tusker Statue
0AB2,Tusker Post/Pillar
0AB3,"dungeon pieces, olthoi"
0AB4,"dungeon pieces, olthoi"
0AB5,Nothing
0AB6,Large Dead Multi Branching Tree
0AB7,Purple Aun
0AB8,Nothing
0AB9,Aun Torch
0ABA,Aun Map Table
0ABB,Aun Chair
0ABC,Large Turquoise Obelisk
0ABD,Large Green Obelisk
0ABE,Large Brown Obelisk
0ABF,Giant Mushroom
0AC0,Giant thin Mushroom
0AC1,Giant flat top mushroom
0AC2,Giant Cap Mushroom
0AC3,Giant Cap Mushroom
0AC4,Giant Cap Mushroom
0AC5,Giant Cap Mushroom
0AC6,Giant Cap Mushroom
0AC7,Olthoi PLant ?
0AC8,Olthoi plant larger than 6
0AC9,olthoi plant smaller than 6
0ACA,purple flower 
0ACB,pink flower
0ACC,orange flower
0ACD,nothing
0ACE,olthoi queen head
0ACF,large anthill
0AD0,atlan axe
0AD1,atlan bow
0AD2,atlan weapon
0AD3,atlan weapon
0AD4,atlan weapon
0AD5,atlan weapon
0AD6,atlan weapon
0AD7,atlan weapon
0AD8,atlan crossbow
0AD9,atlan orb
0ADA,nothing
0ADB,Aun Cauldron Purple
0ADC,Aun Cauldron Orange
0ADD,Thorsten's Armor
0ADE,Aun Cauldron Green
0ADF,Pyreal Bell
0AE0,jewlery? butterfly?
0AE1,Small black square?
0AE2,???
0AE3,Nothing
0AE4,Staff???
0AE5,Nothing?
0AE6,Nothing
0AE7,flesh lump?
0AE8,Pyreal Mace
0AE9,Panaq (Putiputipuh's Onga)
0AEA,Crop
0AEB,Ebon Spine Harpoon
0AEC,Elari Wood Bow
0AED,Siraluun Matihao
0AEE,Pyreal Mace
0AEF,Virindi Scalpel
0AF0,Raeta's Necklace Icon?
0AF1,Palenqual's Tewhate of the Heights
0AF2,Okane
0AF3,Waaika (Palenqual's Living Weapons)
0AF4,Taiaha
0AF5,Taiaha different texture
0AF6,Stave of Palenqual (Base)?
0AF7,Banner weapon part?
0AF8,Seal weapon part?
0AF9,haft+banner part?
0AFA,Just haft part?
0AFB,banner and haft?
0AFC,just a haft?
0AFD,banner + haft?
0AFE,another haft?
0AFF,Tip of banner weapons
0B00,forked tip of banner weapon
0B01,haflted falcon banner w/ crest
0B02,nothing?
0B03,none
0B04,Baudren/Drum
0B05,"banner, haft and crest"
0B06,"falcon banner, haft and tri crest"
0B07,falcon banner haft and split crest
0B08,falcon banner haft and round crest
0B09,falcon banner haft and tri crest
0B0A,falcon banner haft and split crest
0B0B,falcon banner haft and split crest
0B0C,falcon banner haft and tri crest
0B0D,falcon banner haft and split crest
0B0E,Statue sign?
0B0F,small bluish pedestal with face etching?
0B10,totem
0B11,totem
0B12,totem
0B13,totem
0B14,totem
0B15,totem
0B16,totem
0B17,totem
0B18,totem
0B19,totem
0B1A,totem
0B1B,totem
0B1C,totem
0B1D,totem
0B1E,ua weapon?
0B1F,some potion pot bhut no idea wich one
0B20,coin??
0B21,green acid cloud on ground
0B22,red fire cloud on ground
0B23,white frost cloud on ground
0B24,seems to geneate floating olthoi and tumerok heads
0B25,olthi queen back end
0B26,othoi dungeon item?
0B27,none
0B28,tumerok item?
0B29,virindi impant
0B2A,dark stones
0B2B,short dark stones
0B2C,tall dark stones
0B2D,pink exotic flower
0B2E,purple exotic flower
0B2F,red exotic flower
0B30,none
0B31,awakener
0B32,smoke on ground generator
0B33,flame on ground generator
0B34,blue/red fire on ground
0B35,none
0B36,wood block
0B37,wood block
0B38,very large mushroom
0B39,"Enormous mushroom, Marescent Plateau style"
0B3A,"Enormous mushroom, Marescent Plateau style"
0B3B,Tumerok banner staff head?
0B3C,Wooden pole
0B3D,Tumerok banner staff?
0B3E,"Green sparkly axe, Ultimate Singularity?"
0B3F,"Green sparkly bow, Ultimate Singularity?"
0B40,"Green sparkly xbow, Ultimate Singularity?"
0B41,"Green sparkly dagger, Ultimate Singularity?"
0B42,"Green sparkly katar, Ultimate Singularity?"
